,radius(nm),distrib,err
112,34.469457152398014,0.0453739915760355,0.00051
113,32.959320990644834,0.035005364589621044,0.00083
114,31.51601144114817,0.02514667007794828,0.0016
115,30.13517024658694,0.01643782330343816,0.0022
116,28.815344654520786,0.009388756740832381,0.0023
117,27.55362916006899,0.004313428815756218,0.0021
118,26.34639188213066,0.0012878294656221625,0.0015
119,25.19218006826544,6.341160303552604e-05,0.00068
120,24.088814589812777,0.0,6.3e-18
121,23.03411631811214,0.0,2.5e-18
122,22.025179748282813,0.0,1.8e-18
123,21.060552127884435,0.0,2.5e-18
124,20.13805432825647,0.0,6.3e-18
125,19.25550722073838,0.0,1.1e-17
126,18.412184429109978,0.0,6.2e-18
127,17.605906824710733,0.0,7.5e-18
128,16.8344952788801,0.0,1.5e-17
129,16.09722341539791,0.0,1.1e-17
130,15.391912105603616,0.0,1.3e-17
131,14.71783497327704,0.0,3.3e-17
132,14.073539265977821,0.0,2.4e-17
133,13.456845855045426,0.0,2.4e-17
134,12.867754740479851,0.0,3.7e-17
135,12.304086793620558,0.0,1.3e-17
136,11.76511563824737,0.0,1.6e-17
137,11.249388521919926,0.0,4.9e-18
138,10.756905444638223,0.0,7.2e-18
139,10.285487277741726,0.0,1.6e-17
140,9.835134021230438,0.0,5.5e-18
141,9.404392922663991,0.0,1.3e-17
142,8.992537605822216,0.0,9.6e-18
143,8.598841694484927,0.0,1.8e-17
144,8.221852436211767,0.0,3.4e-18
145,7.861569831002734,0.0,1.6e-17
146,7.51726750263765,0.0,7.4e-18
147,7.188219074896337,0.0,2.3e-17
148,6.8733349834485225,0.0,1.6e-17
149,6.572324677806139,0.0,1.4e-17
150,6.284461781749002,0.0,1.4e-17
151,6.009165194300971,0.0,1.2e-17
152,5.745926452107921,0.0,2.7e-17
153,5.494309729437742,0.0,6.4e-18
154,5.253588650070255,0.0,6.8e-18
155,5.02347266351739,0.0,1.9e-17
156,4.80345330642502,0.0,1.4e-17
157,4.5930947530610355,0.0,6.2e-18
158,4.391888540071314,0.0,1e-17
159,4.199544116967782,0.0,5.4e-18
160,4.015553020396315,0.0,6.2e-18
